Time

4
3
4
3
3
7
6
6
7
6
7
8
7
5
5
5
7
6
6
7
6
8
7
7
7
8
7
8
6
8
6
7
7
7
8
7
8
8
7
8
6
8
7
8
7
8
7
7
8
8
10
10
9
9
8
9
9
8
10
9
8
8
8
9
9
9
9
10
9
8
10
9
8
9
9
8
10
9
9
9
9
9
9
10
11
10
9
10
9
9
9
10
10
13
9
9
12
11
11
12
12
13
12
11
13
11
12
10
10
11
12
12
12
13
11
12
14
12
11
14
17
12
11
12
12
17
13
15
11
12
14
13
13
14
13
13
13
14
15
16
12
13
14
14
11
13
13
15
15
11
12
15
17
13
15
16
19
14
14
13
17
14
15
15
19
15
16
16
16
18
17
17
16
16
19
15
15
15
17
19
17
17
15
19
18
18
15
17
18
18
16
18
19
22
18
18
18
21
21
19
19
18
19
21
18
19
17
20
18
19
24
20
19
19
19
20
19
19
21
18
18
20
20
19
20
20
18
20
19
19
20
20
19
22
21
20
20
20
21
19
23
20
22
20
21
20
22
21
21
20
21
21
22
20
21
22
21
22
22
23
24
25
23
23
23
23
22
24
23
21
24
24
24
24
27
23
26
24
24
25
26
23
26
23
24
23
24
25
25
25
27
24
26
29
24
29
29
22
27
28
27
25
26
26
25
31
25
27
28
28
26
29
26
25
27
26
27
29
29
27
27
26
24
25
28
24
27
28
30
28
29
28
28
29
29
29
29
27
27
27
28
25
29
29
30
25
31
29
33
28
28
29
31
30
30
30
29
31
26
31
32
30
35
28
29
29
32
37
33
32
35
27
30
29
28
36
30
30
31
33
32
33
34
35
32
32
32
33
34
35
35
32
33
33
33
35
31
29
